代码,total_weight,total_weight_pct,appear_in,159338成分股,159691成分股,159801成分股,159841成分股,159850成分股,510050成分股,510300成分股,512690成分股,512760成分股,513600成分股,513980成分股,515790成分股
300037.SZ,0.00011783386367112417,0.0118,1,0.00141400636405349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300413.SZ,0.0001162006474658305,0.0116,2,0.000760149207099372,0.0,0.0,0.0,0.0,0.0,0.000634258562490594,0.0,0.0,0.0,0.0,0.0
0960.HK,0.00011617681879459166,0.0116,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013941218255351,0.0,0.0
600143.SH,0.00011580855601225,0.0116,1,0.001389702672147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600763.SH,0.00011568654952677583,0.0116,1,0.00138823859432131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002353.SZ,0.00011517412228778334,0.0115,1,0.0013820894674534002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600845.SH,0.00011472352059126482,0.0115,2,0.0007504862934498039,0.0,0.0,0.0,0.0,0.0,0.000626195953645374,0.0,0.0,0.0,0.0,0.0
000034.SZ,0.00011390525483885084,0.0114,1,0.00136686305806621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603596.SH,0.0001135880379766175,0.0114,1,0.00136305645571941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0322.HK,0.00011347198453930666,0.0113,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136166381447168,0.0,0.0
000426.SZ,0.00011268518998410666,0.0113,1,0.00135222227980928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600018.SH,0.00011146784505763366,0.0111,2,0.000654735603649536,0.0,0.0,0.0,0.0,0.0,0.000682878537042068,0.0,0.0,0.0,0.0,0.0
002517.SZ,0.00010882978504311749,0.0109,1,0.00130595742051741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601021.SH,0.00010664632608903832,0.0107,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0012797559130684599,0.0,0.0,0.0,0.0,0.0
002436.SZ,0.00010629205014525083,0.0106,1,0.00127550460174301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
